time	V(in)	V(out)
0.000000000000000e+000	0.000000000000000e+000	-4.288727848346134e-004
9.999999960041972e-013	0.000000000000000e+000	-4.288727906500427e-004
1.999999992008394e-012	0.000000000000000e+000	-4.288727921135547e-004
3.999999984016789e-012	0.000000000000000e+000	-4.288727929135895e-004
7.999999968033578e-012	0.000000000000000e+000	-4.288727974961070e-004
1.599999993606716e-011	0.000000000000000e+000	-4.288728052163036e-004
3.199999987213431e-011	0.000000000000000e+000	-4.288728156021572e-004
6.399999974426862e-011	0.000000000000000e+000	-4.288728277624180e-004
1.279999994885372e-010	0.000000000000000e+000	-4.288728338929977e-004
2.559999989770745e-010	0.000000000000000e+000	-4.288728113247067e-004
5.119999979541490e-010	0.000000000000000e+000	-4.288727340588209e-004
1.023999995908298e-009	0.000000000000000e+000	-4.288725997346525e-004
2.047999991816596e-009	0.000000000000000e+000	-4.288724433756450e-004
4.095999983633192e-009	0.000000000000000e+000	-4.288723862584496e-004
8.191999967266384e-009	0.000000000000000e+000	-4.288727095852533e-004
1.638399993453277e-008	0.000000000000000e+000	-4.288736753984754e-004
3.276799986906553e-008	0.000000000000000e+000	-4.288749071491663e-004
6.553599973813107e-008	0.000000000000000e+000	-4.288753819424535e-004
1.310719994762621e-007	0.000000000000000e+000	-4.288748284091307e-004
2.310719994762621e-007	0.000000000000000e+000	-4.288741539975140e-004
3.310719994762621e-007	0.000000000000000e+000	-4.288737348420040e-004
4.310719994762621e-007	0.000000000000000e+000	-4.288733979641263e-004
5.310719994762621e-007	0.000000000000000e+000	-4.288731262102848e-004
6.310719994762621e-007	0.000000000000000e+000	-4.288729055609167e-004
7.310719994762621e-007	0.000000000000000e+000	-4.288727277446887e-004
8.310719994762621e-007	0.000000000000000e+000	-4.288725831234425e-004
9.310719994762621e-007	0.000000000000000e+000	-4.288724671666075e-004
1.031071999476262e-006	0.000000000000000e+000	-4.288723737467193e-004
1.131071999476262e-006	0.000000000000000e+000	-4.288722996682168e-004
1.231071999476262e-006	0.000000000000000e+000	-4.288722411498923e-004
1.331071999476262e-006	0.000000000000000e+000	-4.288721958338538e-004
1.431071999476262e-006	0.000000000000000e+000	-4.288721613380470e-004
1.531071999476262e-006	0.000000000000000e+000	-4.288721359342781e-004
1.631071999476262e-006	0.000000000000000e+000	-4.288721180551483e-004
1.731071999476262e-006	0.000000000000000e+000	-4.288721064741529e-004
1.831071999476262e-006	0.000000000000000e+000	-4.288721001526778e-004
1.931071999476262e-006	0.000000000000000e+000	-4.288720982057966e-004
2.031071999476262e-006	0.000000000000000e+000	-4.288720999040658e-004
2.131071999476262e-006	0.000000000000000e+000	-4.288721046226409e-004
2.231071999476262e-006	0.000000000000000e+000	-4.288721118573797e-004
2.331071999476262e-006	0.000000000000000e+000	-4.288721211587421e-004
2.431071999476262e-006	0.000000000000000e+000	-4.288721321638631e-004
2.531071999476262e-006	0.000000000000000e+000	-4.288721445529632e-004
2.631071999476262e-006	0.000000000000000e+000	-4.288721580662549e-004
2.731071999476262e-006	0.000000000000000e+000	-4.288721724703768e-004
2.831071999476262e-006	0.000000000000000e+000	-4.288721875797965e-004
2.931071999476262e-006	0.000000000000000e+000	-4.288722032348527e-004
3.031071999476262e-006	0.000000000000000e+000	-4.288722192984506e-004
3.131071999476262e-006	0.000000000000000e+000	-4.288722356504249e-004
3.231071999476262e-006	0.000000000000000e+000	-4.288722521957644e-004
3.331071999476262e-006	0.000000000000000e+000	-4.288722688463836e-004
3.431071999476262e-006	0.000000000000000e+000	-4.288722855317005e-004
3.531071999476262e-006	0.000000000000000e+000	-4.288723022012094e-004
3.631071999476262e-006	0.000000000000000e+000	-4.288723188082017e-004
3.731071999476262e-006	0.000000000000000e+000	-4.288723353037310e-004
3.831071999476262e-006	0.000000000000000e+000	-4.288723516524143e-004
3.931071999476262e-006	0.000000000000000e+000	-4.288723678232451e-004
4.031071999476262e-006	0.000000000000000e+000	-4.288723837883375e-004
4.131071999476262e-006	0.000000000000000e+000	-4.288723995337703e-004
4.231071999476262e-006	0.000000000000000e+000	-4.288724150509804e-004
4.331071999476262e-006	0.000000000000000e+000	-4.288724303264900e-004
4.431071999476263e-006	0.000000000000000e+000	-4.288724453500699e-004
4.531071999476262e-006	0.000000000000000e+000	-4.288724601124775e-004
4.631071999476262e-006	0.000000000000000e+000	-4.288724746022338e-004
4.731071999476262e-006	0.000000000000000e+000	-4.288724888140177e-004
4.831071999476262e-006	0.000000000000000e+000	-4.288725027519775e-004
4.931071999476262e-006	0.000000000000000e+000	-4.288725164174985e-004
5.031071999476262e-006	0.000000000000000e+000	-4.288725298105918e-004
5.131071999476263e-006	0.000000000000000e+000	-4.288725429286701e-004
5.231071999476262e-006	0.000000000000000e+000	-4.288725557710024e-004
5.331071999476262e-006	0.000000000000000e+000	-4.288725683444151e-004
5.431071999476262e-006	0.000000000000000e+000	-4.288725806506983e-004
5.531071999476262e-006	0.000000000000000e+000	-4.288725926896929e-004
5.631071999476262e-006	0.000000000000000e+000	-4.288726044666630e-004
5.731071999476262e-006	0.000000000000000e+000	-4.288726159842770e-004
5.831071999476262e-006	0.000000000000000e+000	-4.288726272486347e-004
5.931071999476263e-006	0.000000000000000e+000	-4.288726382656340e-004
6.031071999476262e-006	0.000000000000000e+000	-4.288726490343297e-004
6.131071999476262e-006	0.000000000000000e+000	-4.288726595582962e-004
6.231071999476262e-006	0.000000000000000e+000	-4.288726698461651e-004
6.331071999476262e-006	0.000000000000000e+000	-4.288726799023271e-004
6.431071999476262e-006	0.000000000000000e+000	-4.288726897295297e-004
6.531071999476262e-006	0.000000000000000e+000	-4.288726993323488e-004
6.631071999476262e-006	0.000000000000000e+000	-4.288727087164113e-004
6.731071999476263e-006	0.000000000000000e+000	-4.288727178853586e-004
6.831071999476262e-006	0.000000000000000e+000	-4.288727268448380e-004
6.931071999476262e-006	0.000000000000000e+000	-4.288727356022026e-004
7.031071999476262e-006	0.000000000000000e+000	-4.288727441596488e-004
7.131071999476262e-006	0.000000000000000e+000	-4.288727525193546e-004
7.231071999476262e-006	0.000000000000000e+000	-4.288727606868524e-004
7.331071999476262e-006	0.000000000000000e+000	-4.288727686656385e-004
7.431071999476263e-006	0.000000000000000e+000	-4.288727764588830e-004
7.531071999476262e-006	0.000000000000000e+000	-4.288727840696079e-004
7.631071999476262e-006	0.000000000000000e+000	-4.288727915012798e-004
7.731071999476262e-006	0.000000000000000e+000	-4.288727987597558e-004
7.831071999476263e-006	0.000000000000000e+000	-4.288728058528055e-004
7.931071999476262e-006	0.000000000000000e+000	-4.288728127853503e-004
8.031071999476263e-006	0.000000000000000e+000	-4.288728195587752e-004
8.131071999476262e-006	0.000000000000000e+000	-4.288728261767233e-004
8.231071999476263e-006	0.000000000000000e+000	-4.288728326428881e-004
8.331071999476262e-006	0.000000000000000e+000	-4.288728389591573e-004
8.431071999476262e-006	0.000000000000000e+000	-4.288728451306682e-004
8.531071999476261e-006	0.000000000000000e+000	-4.288728511585278e-004
8.631071999476262e-006	0.000000000000000e+000	-4.288728570428237e-004
8.731071999476263e-006	0.000000000000000e+000	-4.288728627879752e-004
8.831071999476262e-006	0.000000000000000e+000	-4.288728683999963e-004
8.931071999476263e-006	0.000000000000000e+000	-4.288728738829630e-004
9.031071999476262e-006	0.000000000000000e+000	-4.288728792362538e-004
9.131071999476262e-006	0.000000000000000e+000	-4.288728844637690e-004
9.231071999476261e-006	0.000000000000000e+000	-4.288728895728402e-004
9.331071999476262e-006	0.000000000000000e+000	-4.288728945644812e-004
9.431071999476263e-006	0.000000000000000e+000	-4.288728994368335e-004
9.531071999476262e-006	0.000000000000000e+000	-4.288729041916413e-004
9.631071999476263e-006	0.000000000000000e+000	-4.288729088360374e-004
9.731071999476262e-006	0.000000000000000e+000	-4.288729133742301e-004
9.831071999476262e-006	0.000000000000000e+000	-4.288729178057126e-004
9.931071999476262e-006	0.000000000000000e+000	-4.288729221361194e-004
1.003107199947626e-005	0.000000000000000e+000	-4.288729263726257e-004
1.013107199947626e-005	0.000000000000000e+000	-4.288729305101996e-004
1.023107199947626e-005	0.000000000000000e+000	-4.288729345449004e-004
1.033107199947626e-005	0.000000000000000e+000	-4.288729384846902e-004
1.043107199947626e-005	0.000000000000000e+000	-4.288729423346658e-004
1.053107199947626e-005	0.000000000000000e+000	-4.288729460927618e-004
1.063107199947626e-005	0.000000000000000e+000	-4.288729497614964e-004
1.073107199947626e-005	0.000000000000000e+000	-4.288729533494946e-004
1.083107199947626e-005	0.000000000000000e+000	-4.288729568595557e-004
1.093107199947626e-005	0.000000000000000e+000	-4.288729602864433e-004
1.103107199947626e-005	0.000000000000000e+000	-4.288729636302090e-004
1.113107199947626e-005	0.000000000000000e+000	-4.288729668973095e-004
1.123107199947626e-005	0.000000000000000e+000	-4.288729700883132e-004
1.133107199947626e-005	0.000000000000000e+000	-4.288729732002651e-004
1.143107199947626e-005	0.000000000000000e+000	-4.288729762391416e-004
1.153107199947626e-005	0.000000000000000e+000	-4.288729792103543e-004
1.163107199947626e-005	0.000000000000000e+000	-4.288729821101066e-004
1.173107199947626e-005	0.000000000000000e+000	-4.288729849358856e-004
1.183107199947626e-005	0.000000000000000e+000	-4.288729876913346e-004
1.193107199947626e-005	0.000000000000000e+000	-4.288729903824135e-004
1.203107199947626e-005	0.000000000000000e+000	-4.288729930140436e-004
1.213107199947626e-005	0.000000000000000e+000	-4.288729955870800e-004
1.223107199947626e-005	0.000000000000000e+000	-4.288729980991968e-004
1.233107199947626e-005	0.000000000000000e+000	-4.288730005494376e-004
1.243107199947626e-005	0.000000000000000e+000	-4.288730029415409e-004
1.253107199947626e-005	0.000000000000000e+000	-4.288730052817776e-004
1.263107199947626e-005	0.000000000000000e+000	-4.288730075718328e-004
1.273107199947626e-005	0.000000000000000e+000	-4.288730098097890e-004
1.283107199947626e-005	0.000000000000000e+000	-4.288730119955782e-004
1.293107199947626e-005	0.000000000000000e+000	-4.288730141264747e-004
1.303107199947626e-005	0.000000000000000e+000	-4.288730162012961e-004
1.313107199947626e-005	0.000000000000000e+000	-4.288730182266274e-004
1.323107199947626e-005	0.000000000000000e+000	-4.288730202087888e-004
1.333107199947626e-005	0.000000000000000e+000	-4.288730221490301e-004
1.343107199947626e-005	0.000000000000000e+000	-4.288730240448321e-004
1.353107199947626e-005	0.000000000000000e+000	-4.288730258924977e-004
1.363107199947626e-005	0.000000000000000e+000	-4.288730276944040e-004
1.373107199947626e-005	0.000000000000000e+000	-4.288730294549464e-004
1.383107199947626e-005	0.000000000000000e+000	-4.288730311729101e-004
1.393107199947626e-005	0.000000000000000e+000	-4.288730328480802e-004
1.403107199947626e-005	0.000000000000000e+000	-4.288730344832158e-004
1.413107199947626e-005	0.000000000000000e+000	-4.288730360791991e-004
1.423107199947626e-005	0.000000000000000e+000	-4.288730376386849e-004
1.433107199947626e-005	0.000000000000000e+000	-4.288730391631498e-004
1.443107199947626e-005	0.000000000000000e+000	-4.288730406526315e-004
1.453107199947626e-005	0.000000000000000e+000	-4.288730421106911e-004
1.463107199947626e-005	0.000000000000000e+000	-4.288730435366022e-004
1.473107199947626e-005	0.000000000000000e+000	-4.288730449259329e-004
1.483107199947626e-005	0.000000000000000e+000	-4.288730462785980e-004
1.493107199947626e-005	0.000000000000000e+000	-4.288730475974145e-004
1.503107199947626e-005	0.000000000000000e+000	-4.288730488861109e-004
1.513107199947626e-005	0.000000000000000e+000	-4.288730501448710e-004
1.523107199947626e-005	0.000000000000000e+000	-4.288730513710135e-004
1.533107199947626e-005	0.000000000000000e+000	-4.288730525681271e-004
1.543107199947626e-005	0.000000000000000e+000	-4.288730537389545e-004
1.553107199947626e-005	0.000000000000000e+000	-4.288730548800065e-004
1.563107199947626e-005	0.000000000000000e+000	-4.288730559941234e-004
1.573107199947626e-005	0.000000000000000e+000	-4.288730570841459e-004
1.583107199947626e-005	0.000000000000000e+000	-4.288730581462850e-004
1.593107199947626e-005	0.000000000000000e+000	-4.288730591824357e-004
1.603107199947626e-005	0.000000000000000e+000	-4.288730601966919e-004
1.613107199947626e-005	0.000000000000000e+000	-4.288730611879855e-004
1.623107199947626e-005	0.000000000000000e+000	-4.288730621567782e-004
1.633107199947626e-005	0.000000000000000e+000	-4.288730631068047e-004
1.643107199947626e-005	0.000000000000000e+000	-4.288730640369976e-004
1.653107199947626e-005	0.000000000000000e+000	-4.288730649422064e-004
1.663107199947626e-005	0.000000000000000e+000	-4.288730658228709e-004
1.673107199947626e-005	0.000000000000000e+000	-4.288730666809096e-004
1.683107199947626e-005	0.000000000000000e+000	-4.288730675156121e-004
1.693107199947626e-005	0.000000000000000e+000	-4.288730683278674e-004
1.703107199947626e-005	0.000000000000000e+000	-4.288730691202369e-004
1.713107199947626e-005	0.000000000000000e+000	-4.288730698929879e-004
1.723107199947626e-005	0.000000000000000e+000	-4.288730706463062e-004
1.733107199947626e-005	0.000000000000000e+000	-4.288730713794635e-004
1.743107199947626e-005	0.000000000000000e+000	-4.288730720904670e-004
1.753107199947626e-005	0.000000000000000e+000	-4.288730727849969e-004
1.763107199947626e-005	0.000000000000000e+000	-4.288730734679252e-004
1.773107199947626e-005	0.000000000000000e+000	-4.288730741348224e-004
1.783107199947626e-005	0.000000000000000e+000	-4.288730747829862e-004
1.793107199947626e-005	0.000000000000000e+000	-4.288730754148764e-004
1.803107199947626e-005	0.000000000000000e+000	-4.288730760323019e-004
1.813107199947626e-005	0.000000000000000e+000	-4.288730766353363e-004
1.823107199947626e-005	0.000000000000000e+000	-4.288730772251519e-004
1.833107199947626e-005	0.000000000000000e+000	-4.288730778048167e-004
1.843107199947626e-005	0.000000000000000e+000	-4.288730783754690e-004
1.853107199947626e-005	0.000000000000000e+000	-4.288730789325769e-004
1.863107199947626e-005	0.000000000000000e+000	-4.288730794712127e-004
1.873107199947626e-005	0.000000000000000e+000	-4.288730799959859e-004
1.883107199947626e-005	0.000000000000000e+000	-4.288730805146213e-004
1.893107199947626e-005	0.000000000000000e+000	-4.288730810232660e-004
1.903107199947626e-005	0.000000000000000e+000	-4.288730815140081e-004
1.913107199947626e-005	0.000000000000000e+000	-4.288730819881534e-004
1.923107199947626e-005	0.000000000000000e+000	-4.288730824500014e-004
1.933107199947626e-005	0.000000000000000e+000	-4.288730828988612e-004
1.943107199947626e-005	0.000000000000000e+000	-4.288730833333947e-004
1.953107199947626e-005	0.000000000000000e+000	-4.288730837557628e-004
1.963107199947626e-005	0.000000000000000e+000	-4.288730841671164e-004
1.973107199947626e-005	0.000000000000000e+000	-4.288730845660605e-004
1.983107199947626e-005	0.000000000000000e+000	-4.288730849542607e-004
1.993107199947626e-005	0.000000000000000e+000	-4.288730853362139e-004
2.003107199947626e-005	0.000000000000000e+000	-4.288730857134886e-004
2.013107199947626e-005	0.000000000000000e+000	-4.288730860816793e-004
2.023107199947626e-005	0.000000000000000e+000	-4.288730864382525e-004
2.033107199947626e-005	0.000000000000000e+000	-4.288730867861544e-004
2.043107199947626e-005	0.000000000000000e+000	-4.288730871264711e-004
2.053107199947626e-005	0.000000000000000e+000	-4.288730874561034e-004
2.063107199947626e-005	0.000000000000000e+000	-4.288730877744040e-004
2.073107199947626e-005	0.000000000000000e+000	-4.288730880859849e-004
2.083107199947626e-005	0.000000000000000e+000	-4.288730883909410e-004
2.093107199947626e-005	0.000000000000000e+000	-4.288730886869712e-004
2.103107199947626e-005	0.000000000000000e+000	-4.288730889761491e-004
2.113107199947626e-005	0.000000000000000e+000	-4.288730892612017e-004
2.123107199947626e-005	0.000000000000000e+000	-4.288730895428889e-004
2.133107199947626e-005	0.000000000000000e+000	-4.288730898186864e-004
2.143107199947626e-005	0.000000000000000e+000	-4.288730900828541e-004
2.153107199947626e-005	0.000000000000000e+000	-4.288730903313834e-004
2.163107199947626e-005	0.000000000000000e+000	-4.288730905705535e-004
2.173107199947626e-005	0.000000000000000e+000	-4.288730908098435e-004
2.183107199947626e-005	0.000000000000000e+000	-4.288730910503118e-004
2.193107199947626e-005	0.000000000000000e+000	-4.288730912868611e-004
2.203107199947626e-005	0.000000000000000e+000	-4.288730915143851e-004
2.213107199947626e-005	0.000000000000000e+000	-4.288730917313279e-004
2.223107199947626e-005	0.000000000000000e+000	-4.288730919408665e-004
2.233107199947626e-005	0.000000000000000e+000	-4.288730921425419e-004
